,词语,出现频次,
,necklace,100,
,women,83,
,charm,72,
,necklaces,49,
,gold,33,
,charms,26,
,initial,20,
,custom,17,
,chunky,7,
,silver,5,
,neckalce,4,
,14k,3,
,beaded,3,
,build,3,
,diy,3,
,heart,3,
,jewelry,3,
,kit,3,
,letter,3,
,name,3,
,own,3,
,your,3,
,,,
,guitar,334,
,pick,148,
,holder,91,
,picks,61,
,gifts,44,
,case,39,
,accessories,29,
,box,29,
,wooden,27,
,music,25,
,display,21,
,gift,19,
,men,18,
,acoustic,17,
,plectrum,12,
,shaped,12,
,electric,11,
,custom,10,
,light,10,
,personalized,10,
,storage,10,
,stand,9,
,amp,7,
,cool,7,
,lover,7,
,player,7,
,up,7,
,leather,6,
,lovers,6,
,mini,6,
,organizer,6,
,stuff,6,
,wood,6,
,3d,5,
,bass,5,
,lego,5,
,unique,5,
,accessory,4,
,bag,4,
,decor,4,
,guitarra,4,
,kit,4,
,led,4,
,mount,4,
,musical,4,
,necklace,4,
,para,4,
,pickup,4,
,players,4,
,set,4,
,sheremart,4,
,sherum,4,
,strumbox,4,
,taylor,4,
,themed,4,
,ukulele,4,
,wall,4,
,beatles,3,
,"box,",3,
,guitarist,3,
,holde,3,
,holders,3,
,illuminated,3,
,musician,3,
,musicians,3,
,paddle,3,
,pcs,3,
,portable,3,
,printing,3,
,retro,3,
,"strumbox,",3,
,,,
,string,51,
,toys,41,
,toy,34,
,kids,28,
,fidget,23,
,glow,19,
,magic,15,
,dark,14,
,lasso,14,
,fun,13,
,loop,13,
,the,12,
,gifts,10,
,rope,10,
,kit,9,
,cool,8,
,outdoor,8,
,teen,8,
,zip,8,
,a,7,
,boys,7,
,age,5,
,flying,5,
,gadgets,5,
,launcher,5,
,prank,5,
,pull,5,
,shooter,5,
,silly,5,
,boy,4,
,christmas,4,
,gag,4,
,gift,4,
,luma,4,
,nano,4,
,trick,4,
,tricks,4,
,8-12,3,
,adult,3,
,adults,3,
,ages,3,
,games,3,
,glowing,3,
,kits,3,
,led,3,
,men,3,
,snake,3,
,top,3,
,web,3,
,zipstring,3,
,,,
,decor,59,
,garden,52,
,outdoor,19,
,mushroom,12,
,butterfly,8,
,outside,6,
,solar,6,
,metal,4,
,patio,4,
,clearance,3,
,gifts,3,
,hanging,3,
,lights,3,
,mushrooms,3,
,,,
,board,20,
,dry,15,
,erase,15,
,light,7,
,white,7,
,acrylic,6,
,stand,6,
,calendar,5,
,up,4,
,fridge,3,
,led,3,
,,,
,women,4,
,bags,2,
,gifts,2,
,tote,2,
,,,
,lego,950,
,marvel,204,
,sets,149,
,set,146,
,legos,98,
,man,82,
,the,78,
,action,76,
,iron,71,
,figure,70,
,boys,64,
,spiderman,64,
,toys,64,
,groot,61,
,figures,50,
,avengers,37,
,galaxy,37,
,transformers,37,
,toy,30,
,old,29,
,year,29,
,funko,26,
,legends,24,
,super,24,
,guardians,23,
,pop,23,
,wars,23,
,age,22,
,kids,22,
,dancing,20,
,deadpool,20,
,hero,20,
,spider,20,
,star,20,
,batman,18,
,hulk,18,
,building,17,
,gauntlet,17,
,prime,17,
,series,17,
,boy,16,
,captain,16,
,venom,16,
,fortnite,15,
,infinity,15,
,monster,15,
,disney,14,
,hasbro,14,
,hulkbuster,14,
,truck,14,
,wolverine,14,
,baby,13,
,mech,13,
,8-12,12,
,big,12,
,costume,12,
,deals,12,
,america,11,
,falcon,11,
,flower,11,
,flowers,11,
,head,11,
,large,11,
,leviathan,11,
,black,10,
,day,10,
,mansion,10,
,spidey,10,
,superhero,10,
,tower,10,
,way,10,
,advent,9,
,friends,9,
,gifts,9,
,mandalorian,9,
,mario,9,
,party,9,
,rocket,9,
,sale,9,
,space,9,
,thanos,9,
,venomized,9,
,x,9,
,xmen,9,
,8-14,8,
,nano,8,
,robot,8,
,avenger,7,
,birthday,7,
,blocks,7,
,bugle,7,
,clearance,7,
,cool,7,
,daily,7,
,dark,7,
,giant,7,
,inch,7,
,kit,7,
,new,7,
,studio,7,
,up,7,
,vs,7,
,war,7,
,amazing,6,
,art,6,
,avatar,6,
,beatles,6,
,cute,6,
,dc,6,
,his,6,
,home,6,
,light,6,
,men,6,
,no,6,
,optimus,6,
,rebuild,6,
,roblox,6,
,thor,6,
,walle,6,
,anime,5,
,batmobile,5,
,calendar,5,
,deal,5,
,decorations,5,
,dobby,5,
,gift,5,
,halloween,5,
,hot,5,
,minifigures,5,
,moon,5,
,nintendo,5,
,pokemon,5,
,pot,5,
,soundwave,5,
,starwars,5,
,strange,5,
,world,5,
,yoda,5,
,–,5,
,4-6,4,
,6-8,4,
,amazon,4,
,beast,4,
,block,4,
,bulk,4,
,buster,4,
,collectibles,4,
,dance,4,
,de,4,
,doctor,4,
,figuarts,4,
,fortnight,4,
,green,4,
,harry,4,
,heroes,4,
,icons,4,
,interactive,4,
,jada,4,
,medium,4,
,milky,4,
,mini,4,
,minion,4,
,movie,4,
,only,4,
,panther,4,
,piece,4,
,plant,4,
,playset,4,
,plush,4,
,pop!,4,
,potter,4,
,retro,4,
,rose,4,
,roses,4,
,saga,4,
,sales,4,
,sets￼,4,
,sh,4,
,spider-man,4,
,statue,4,
,stitch,4,
,superheroes,4,
,t13,4,
,tank,4,
,transformer,4,
,villains,4,
,widow,4,
,x-men,4,
,1:24,3,
,adult,3,
,batcave,3,
,bonsai,3,
,bots,3,
,burton,3,
,carnage,3,
,cartoon,3,
,cat,3,
,characters,3,
,classic,3,
,collection,3,
,death,3,
,deluxe,3,
,dis,3,
,doh,3,
,dr,3,
,earth,3,
,endgame,3,
,favors,3,
,fortress,3,
,globe,3,
,goblin,3,
,godzilla,3,
,gogh,3,
,grogu,3,
,guitar,3,
,hammer,3,
,hand,3,
,helmet,3,
,liberty,3,
,lotr,3,
,lwgo,3,
,merchandise,3,
,milano,3,
,milkyway,3,
,minions,3,
,multiverse,3,
,office,3,
,over,3,
,play,3,
,r2d2,3,
,schebler,3,
,stranger,3,
,superman,3,
,tales,3,
,things,3,
,tim,3,
,tv,3,
,ultron,3,
,under,3,
,van,3,
,vs.,3,
,wave,3,
,,,
,board,87,
,busy,86,
,montessori,18,
,toddlers,15,
,old,14,
,year,14,
,baby,12,
,wooden,11,
,puzzle,10,
,toys,9,
,bear,7,
,name,7,
,1-3,6,
,personalized,6,
,toddler,6,
,wall,6,
,activity,4,
,sensory,4,
,travel,4,
,6-12,3,
,book,3,
,custom,3,
,diy,3,
,light,3,
,months,3,
,musical,3,
