Cluster,avg_magnet_iq,max_magnet_iq,max_magnet_iq_keyword,avg_search_volume,max_search_volume,max_search_volume_keyword,avg_search_volume_trend,max_search_volume_trend,max_search_volume_trend_keyword,max_competing_products,sum_cpr,avg_cpr
Bible Verse + Jar,10334.372881355932,134407.0,bible verse jar,2127.9491525423728,29704.0,bible verse jar,100.36538461538461,1360.0,bible verse jar for women,90000.0,1153.0,19.54237288135593
Clearance,33255.68503937008,961286.0,amazon reload,4107.716535433071,78345.0,amazoñ,56.23770491803279,1007.0,christmas deals clearance,300000.0,2774.0,21.84251968503937
Coffee Cup,1047.6724137931035,25239.0,cup set,3450.9310344827586,89204.0,glass,20.25,139.0,coffee mugs for women,100000.0,2322.0,20.017241379310345
Gift Baskets,1961.2121212121212,141939.0,spa gift baskets for women,3765.030303030303,141939.0,spa gift baskets for women,97.29770992366412,2002.0,spa gift baskets for women,80000.0,2685.0,20.34090909090909
Gift Box,2092.4714285714285,22837.0,gift boxes with lids for presents,6480.1,155943.0,lunch box,63.81159420289855,888.0,christmas snack box,200000.0,1814.0,25.914285714285715
Gift for Girls/Kids,366.90449438202245,3991.0,15 year old boy gifts,2019.3202247191011,58953.0,halloween gifts for kids,122.13714285714286,2191.0,christmas gifts for college students,200000.0,3219.0,18.084269662921347
Gift for Mom,151.8581081081081,2894.0,postpartum gifts for mom,4549.777027027027,210484.0,mom christmas gifts,104.26896551724138,2772.0,mom christmas gifts,200000.0,3247.0,21.93918918918919
Gift for Women,269.74304068522486,24933.0,burts bees gift sets for women,5254.012847965739,393137.0,gifts for women,264.4021978021978,66919.0,womens gifts for christmas,200000.0,10359.0,22.182012847965737
Heating Pad + Rice Cooker,49461.98657718121,5408778.0,overnight oats containers with lids,13570.510067114094,529404.0,heating pad,29.08108108108108,208.0,crock pot lunch warmer,100000.0,5171.0,34.70469798657718
Holiday,1017.9286733238231,126032.0,2024 top christmas gifts,3326.3566333808844,272009.0,christmas gifts,81.22974963181149,3803.0,skincare gift set,300000.0,14288.0,20.38231098430813
Home Decor,858.2678571428571,40055.0,smores maker tabletop indoor kit,7477.973214285715,345055.0,home decor,17.53153153153153,763.0,funny christmas decor,100000.0,2911.0,25.991071428571427
Jewelry,665.8068181818181,5226.0,jewelry tray,3440.284090909091,68690.0,necklace,37.09411764705882,680.0,travel jewelry boxes for women,100000.0,1878.0,21.34090909090909
Lego,2647.2631578947367,15149.0,lego roses,1266.5,10847.0,lego roses,24.789473684210527,101.0,lego icons roses,20000.0,608.0,16.0
Light/Lamp,5427.138728323699,316500.0,doulingo app,14291.104046242775,3753982.0,halloween,38.50877192982456,1782.0,gummy bear night light,900000.0,12523.0,36.19364161849711
Maxican (not important),19766.821428571428,817000.0,leeme cuando te sientas versículos en español,2776.25,29677.0,loncheras para hombres de trabajo,41.05357142857143,332.0,regalos navidad,200000.0,1081.0,19.303571428571427
Memory Book,2248.4823529411765,41453.0,our adventure book,5055.0,143157.0,photo album,14.83529411764706,243.0,travel journal scrapbook,100000.0,1957.0,23.023529411764706
Snack,5198.327868852459,442500.0,halloween candy overnight delivery,3286.188524590164,62420.0,snacks variety pack for adults,188.78151260504202,8221.0,halloween candy for college students,200000.0,2366.0,19.39344262295082
Socks,2605.126506024096,45397.0,fuzzy socks for women,2992.240963855422,90794.0,fuzzy socks for women,84.60240963855422,2306.0,tehook fuzzy socks for women,60000.0,3137.0,18.897590361445783
Stocking Stuffer + Shower,3191.967105263158,249514.0,shower steamers,4007.967105263158,155946.0,shower steamers,255.60416666666666,16241.0,stocking stuffers for adults women,200000.0,3199.0,21.04605263157895
table top fire pit,2455.9253731343283,31662.0,tabletop fire pit,2377.626865671642,31662.0,tabletop fire pit,46.37313432835821,309.0,tabletop indoor fire pit,30000.0,1292.0,19.28358208955224
